player_id,general_rating,general_rd,general_n,hard_rating,hard_rd,hard_n,clay_rating,clay_rd,clay_n,grass_rating,grass_rd,grass_n,full_name
200082,1451.3,114.9,245,1471.5,165.6,93,1380.5,174.1,72,1582.3,276.0,39,Kristie Boogert
200697,1451.3,106.9,188,1412.6,136.7,92,1422.2,203.6,72,1012.9,507.7,5,Janette Husarova
201379,1451.2,87.4,167,1439.5,128.1,100,1434.3,187.7,41,1506.0,271.9,22,Mara Santangelo
201652,1451.1,184.4,8,1495.8,200.2,7,1378.8,331.1,1,1500.0,350.0,0,Ksenia Palkina
203104,1450.5,220.6,4,1500.0,350.0,0,1500.0,350.0,0,1482.5,219.5,4,Annica Cooper
230882,1450.1,267.5,2,1500.0,350.0,0,1499.8,280.2,2,1500.0,350.0,0,Carolina Kuhl
206108,1450.1,128.8,148,1492.4,139.5,110,1202.7,316.8,26,1400.8,654.6,12,Jennifer Brady
200732,1450.0,108.9,124,1388.3,213.4,46,1509.0,135.8,48,1494.3,355.6,14,Magdalena Grzybowska
201541,1449.4,82.4,195,1381.5,120.7,115,1482.7,133.5,67,1374.0,339.2,11,Chanelle Scheepers
201922,1449.2,304.3,1,1500.0,350.0,0,1500.0,350.0,0,1500.0,350.0,0,Stephanie Tibbits
202187,1449.1,189.5,5,1333.5,276.9,1,1500.0,350.0,0,1500.0,350.0,0,Ilana Berger
202129,1448.9,116.4,24,1519.0,127.9,22,1500.0,350.0,0,1305.4,282.1,2,Orawan Wongkamalasai
201411,1448.9,137.1,128,1445.2,151.6,98,1288.1,321.4,13,1321.7,264.3,13,Aiko Nakamura
202442,1448.9,252.2,2,1432.9,263.6,2,1500.0,350.0,0,1500.0,350.0,0,Tatia Mikadze
200703,1448.8,88.2,156,1398.9,194.9,54,1396.7,135.8,59,1357.8,257.2,12,Katarina Studenikova
203325,1448.7,160.2,9,1368.4,274.5,1,1468.3,195.4,7,1380.5,311.3,1,Martina Di Giuseppe
259733,1448.6,153.9,7,1409.4,224.6,3,1468.3,213.3,4,1500.0,350.0,0,Kaitlin Quevedo
201596,1448.2,92.2,330,1452.6,124.5,178,1436.3,156.8,133,1180.5,368.8,18,Johanna Larsson
202361,1448.0,185.3,6,1555.7,219.7,4,1500.0,350.0,0,1262.3,343.1,1,Erika Takao
200030,1448.0,82.6,61,1560.6,128.7,30,1335.9,131.7,27,1178.5,270.9,4,Miroslava Vavrinec
204058,1447.9,142.0,21,1541.6,160.7,14,1443.9,236.0,7,1500.0,350.0,0,Nami Urabe
202358,1447.2,312.3,1,1500.0,350.0,0,1373.5,327.2,1,1500.0,350.0,0,Irina Kotkina
203062,1447.1,156.0,11,1472.9,158.4,11,1500.0,350.0,0,1500.0,350.0,0,Yu An Chen
201856,1446.8,212.2,6,1489.2,282.0,2,1492.0,253.7,4,1500.0,350.0,0,Ekaterina Sysoeva
211472,1446.6,248.1,2,1447.6,253.8,2,1500.0,350.0,0,1500.0,350.0,0,Oleksandra Korashvili
214541,1446.5,156.7,30,1335.2,317.1,11,1476.2,174.0,17,1484.7,422.5,2,Fanny Stollar
201308,1446.4,117.3,246,1465.9,241.9,133,1394.4,167.4,88,1135.9,311.9,23,Maria Elena Camerin
201309,1446.2,102.8,110,1455.6,138.8,54,1439.4,180.2,38,1377.4,217.1,17,Tatiana Perebiynis
246481,1445.5,242.5,2,1410.9,252.8,2,1500.0,350.0,0,1500.0,350.0,0,Sahaja Yamalapalli
202921,1445.3,247.5,2,1434.7,250.5,2,1500.0,350.0,0,1500.0,350.0,0,Shiho Akita
223321,1444.9,225.8,4,1514.8,243.0,3,1380.5,307.2,1,1500.0,350.0,0,Sofia Costoulas
206374,1444.9,88.2,162,1450.4,94.6,132,1196.4,319.1,17,1264.7,372.8,13,Yafan Wang
200480,1444.7,96.6,152,1463.0,138.0,97,1265.3,309.3,11,1387.6,226.9,16,Claudia Porwik
211856,1444.4,237.3,3,1452.2,242.8,3,1500.0,350.0,0,1500.0,350.0,0,Anastasiya Komardina
200063,1444.2,91.4,325,1410.0,115.1,186,1358.6,236.1,72,1524.5,265.0,32,Tatiana Panova
200722,1444.1,113.3,78,1454.5,173.5,41,1384.0,182.3,28,1244.2,382.0,5,Francesca Lubiani
200634,1443.8,129.8,105,1363.2,171.3,28,1481.7,222.7,35,1480.3,259.4,22,Elena Brioukhovets
200485,1443.5,95.8,132,1421.3,135.1,63,1406.7,217.2,26,1438.9,248.1,24,Manon Bollegraf
200052,1443.2,127.6,129,1409.4,141.9,70,1370.6,292.0,43,1585.5,343.1,15,Olga Barabanschikova
202274,1443.0,221.4,5,1478.2,254.7,2,1500.0,350.0,0,1415.9,293.2,3,Adrienn Hegedus
221000,1443.0,182.3,8,1547.5,194.6,7,1323.9,332.0,1,1500.0,350.0,0,Diletta Cherubini
200056,1443.0,124.2,263,1440.7,184.5,139,1408.5,193.3,105,1024.1,440.6,12,Jelena Kostanic Tosic
201442,1442.9,117.1,133,1456.2,123.5,97,1447.4,339.6,22,1282.1,570.5,14,Yung Jan Chan
201807,1442.6,224.7,5,1423.1,292.8,2,1500.0,350.0,0,1541.6,253.5,3,Li Yao Tang
202319,1442.3,259.3,2,1436.3,271.2,2,1500.0,350.0,0,1500.0,350.0,0,Lydia Steinbach
200679,1442.3,91.1,85,1433.1,135.3,48,1305.5,191.1,23,1434.1,272.5,6,Caroline Kuhlman
202438,1442.2,252.1,3,1500.0,350.0,0,1359.0,270.9,3,1500.0,350.0,0,Ani Mijacika
200576,1442.1,117.9,117,1405.7,168.9,56,1400.2,170.6,31,1428.9,415.6,10,Nathalie Herreman
201315,1442.0,124.6,130,1441.7,141.7,87,1425.4,265.1,33,1247.1,309.4,10,Ashley Harkleroad
202858,1441.9,247.9,2,1500.0,350.0,0,1472.2,252.9,2,1500.0,350.0,0,Anne Schaefer
200725,1441.6,90.9,257,1242.2,249.7,24,1442.7,107.6,202,1425.2,622.4,5,Sandra Cecchini
201520,1441.4,96.0,773,1473.1,134.3,510,1205.3,208.1,153,1494.9,237.9,100,Petra Kvitova
202412,1440.8,297.3,1,1444.0,300.2,1,1500.0,350.0,0,1500.0,350.0,0,Maria Mokh
210926,1440.8,298.2,1,1448.9,304.6,1,1500.0,350.0,0,1500.0,350.0,0,Pei Chi Lee
201533,1440.5,72.7,513,1485.8,104.9,351,1284.1,153.4,109,1159.1,332.8,53,Shuai Zhang
200075,1440.4,109.0,49,1427.5,124.2,43,1446.7,257.1,4,1605.9,317.7,2,Jing Qian Yi
200100,1440.2,95.9,59,1314.9,180.3,15,1367.4,153.6,26,1440.8,272.9,10,Amanda Hopmans
201408,1440.1,98.2,83,1379.8,120.5,57,1405.5,275.6,9,1625.2,274.6,17,Jamea Jackson
201952,1440.0,140.5,14,1524.1,237.1,3,1450.6,176.0,11,1500.0,350.0,0,Elena Savoldi
200013,1440.0,133.1,176,1472.0,150.8,117,1388.8,286.9,34,1378.0,378.3,14,Angelica Gavaldon
202157,1439.7,297.4,1,1500.0,350.0,0,1440.4,302.2,1,1500.0,350.0,0,Paola Tampieri
206329,1439.5,178.0,6,1524.3,194.7,4,1290.4,281.6,2,1500.0,350.0,0,Montserrat Gonzalez
200366,1439.1,115.9,17,1488.7,159.8,9,1438.0,186.2,7,1500.0,350.0,0,Sylvia Hanika
201593,1439.1,98.2,477,1305.5,174.7,236,1421.3,133.7,207,1344.2,233.1,34,Irina Camelia Begu
201312,1439.1,94.7,47,1484.6,109.4,38,1267.9,218.3,6,1380.5,417.7,1,Sarah Taylor
221237,1439.0,122.1,24,1505.1,173.1,10,1306.6,180.3,14,1500.0,350.0,0,Maria Timofeeva
202502,1439.0,245.5,3,1411.8,250.2,3,1500.0,350.0,0,1500.0,350.0,0,So Ra Lee
201601,1439.0,291.8,1,1455.2,307.4,1,1500.0,350.0,0,1500.0,350.0,0,Chelsey Gullickson
210672,1438.7,247.1,2,1500.0,350.0,0,1463.2,253.0,2,1500.0,350.0,0,Polina Leykina
200554,1438.5,142.6,432,1344.3,174.0,166,1572.4,573.9,112,1549.8,308.9,66,Brenda Schultz Mccarthy
200424,1438.2,106.1,26,1506.2,131.8,19,1500.0,350.0,0,1394.0,200.8,5,Etsuko Inoue
200007,1438.1,92.1,280,1471.0,117.0,124,1450.1,168.7,121,1391.2,307.1,25,Silvija Talaja
202256,1438.1,296.8,1,1435.1,298.0,1,1500.0,350.0,0,1500.0,350.0,0,Helena Vildova
201285,1438.0,164.4,10,1426.3,175.6,10,1500.0,350.0,0,1500.0,350.0,0,Melissa Middleton
205606,1438.0,296.6,1,1500.0,350.0,0,1408.8,300.8,1,1500.0,350.0,0,Viktoria Kamenskaya
200036,1437.9,86.9,376,1421.1,113.2,252,1345.9,235.3,67,1446.9,254.9,43,Nicole Pratt
202684,1437.8,84.0,206,1441.6,103.8,173,895.9,384.3,11,1345.9,197.4,22,Lin Zhu
211337,1437.8,87.9,116,1446.8,145.0,50,1401.3,135.0,54,1163.6,350.5,12,Tamara Korpatsch
201539,1437.8,104.0,376,1476.7,141.8,244,1330.7,186.1,84,1169.4,281.9,44,Christina Mchale
201322,1437.8,111.4,23,1479.2,169.6,10,1395.8,182.8,7,1295.0,329.4,3,Eva Dyrberg
263644,1437.8,137.3,10,1429.9,145.3,9,1427.9,288.3,1,1500.0,350.0,0,Emerson Jones
201432,1437.7,290.9,1,1500.0,350.0,0,1500.0,350.0,0,1431.8,299.2,1,Rebecca Llewellyn
201685,1437.4,225.1,3,1357.9,295.5,1,1504.4,250.4,2,1500.0,350.0,0,Kristina Antoniychuk
201271,1437.3,253.3,3,1406.0,265.6,3,1500.0,350.0,0,1500.0,350.0,0,Lisa Green
201073,1437.0,211.5,2,1500.0,350.0,0,1458.8,216.0,2,1500.0,350.0,0,Seon Young Park
201370,1436.9,131.8,234,1419.1,183.4,143,1365.8,190.1,64,1264.5,479.4,22,Anastasia Rodionova
202323,1436.9,251.6,2,1452.7,260.7,2,1500.0,350.0,0,1500.0,350.0,0,Eden Marama
201850,1436.8,159.9,14,1267.3,321.9,2,1609.7,185.2,8,1462.0,308.3,2,Nino Louarsabishvili
202716,1436.7,157.7,16,1585.6,168.3,13,1500.0,350.0,0,1318.7,329.6,3,Helen Crook
200561,1436.2,89.0,49,1376.8,161.6,13,1448.1,132.3,31,1259.4,278.0,1,Cathy Caverzasio
200729,1436.1,95.3,101,1403.9,103.8,69,1317.5,277.3,18,1398.9,363.4,6,Lindsay Lee Waters
201479,1435.5,99.7,114,1448.8,121.4,83,1289.9,275.3,12,1352.9,296.9,18,Olga Puchkova
200042,1435.4,102.8,210,1369.9,135.6,75,1202.9,261.6,44,1347.4,223.3,42,Els Callens
214388,1435.4,71.4,135,1314.7,107.0,67,1589.0,119.4,64,1127.2,459.1,4,Anna Bondar
200599,1435.2,108.0,102,1451.0,124.1,75,1466.9,245.1,17,1314.2,340.3,7,Carrie Cunningham
202232,1435.1,178.6,10,1490.7,191.7,10,1500.0,350.0,0,1500.0,350.0,0,Yuka Tanaka
200633,1435.0,169.7,5,1515.5,187.2,4,1233.3,309.4,1,1500.0,350.0,0,Stacey Schefflin
201526,1435.0,166.0,47,1444.7,176.1,30,1199.2,310.2,10,1073.6,348.6,6,Julie Coin
201465,1434.7,93.8,420,1351.0,128.5,266,1192.6,337.0,70,1574.7,193.3,80,Kirsten Flipkens
201280,1434.6,185.7,5,1422.6,200.1,5,1500.0,350.0,0,1500.0,350.0,0,Jacqueline Trail
200119,1434.5,109.1,127,1267.4,204.4,29,1531.8,127.0,93,1209.7,469.9,4,Rita Kuti Kis
201472,1434.5,109.4,141,1377.4,150.5,67,1412.1,181.8,60,1376.8,339.6,14,Romina Oprandi
201544,1434.3,291.3,1,1500.0,350.0,0,1500.0,350.0,0,1500.0,350.0,0,Oxana Lyubtsova
202418,1434.3,108.1,217,1383.2,230.8,91,1409.7,133.4,111,1349.5,436.6,14,Lara Arruabarrena
211941,1434.3,176.1,8,1453.1,226.1,7,1500.0,350.0,0,1326.4,266.7,1,Zoe Hives
201446,1434.3,81.6,272,1505.4,115.5,190,1403.0,145.9,62,1338.7,254.8,20,Sybille Bammer
201523,1434.2,94.7,237,1386.7,139.2,143,1350.7,179.5,48,1529.6,225.6,45,Marina Erakovic
214741,1434.2,251.3,3,1451.0,248.2,3,1500.0,350.0,0,1500.0,350.0,0,Anastasia Kulikova
201500,1433.7,160.9,7,1359.3,256.6,2,1353.9,241.9,3,1411.0,259.3,2,Nika Ozegovic
201084,1433.6,147.1,26,1503.1,161.7,17,1452.7,232.8,8,1317.5,418.4,1,Nadejda Ostrovskaya
202135,1433.3,149.3,14,1492.7,183.1,8,1430.4,283.8,4,1500.0,350.0,0,Vanessa Henke
207516,1433.2,271.5,2,1500.0,350.0,0,1500.7,279.4,2,1500.0,350.0,0,Fleur Broughton
201392,1433.1,90.7,131,1473.0,134.1,81,1311.1,204.0,28,1386.2,234.3,17,Severine Beltrame
203576,1433.0,115.6,24,1434.2,120.8,23,1500.0,350.0,0,1289.1,353.3,1,Kai Lin Zhang
220842,1433.0,254.3,2,1438.7,256.0,2,1500.0,350.0,0,1500.0,350.0,0,Shrivalli Rashmikaa Bhamidipaty
222878,1432.4,210.6,7,1562.9,220.1,6,1313.0,306.8,1,1500.0,350.0,0,Melisa Ercan
200399,1432.2,293.0,1,1435.2,298.9,1,1500.0,350.0,0,1500.0,350.0,0,Jennifer Mundel
201384,1432.0,227.3,24,1294.1,345.7,5,1368.0,283.1,3,1582.9,423.0,16,Chia Jung Chuang
202078,1432.0,291.8,1,1500.0,350.0,0,1500.0,350.0,0,1500.0,350.0,0,Rosabel Moyen
202509,1432.0,288.2,1,1419.4,283.4,1,1500.0,350.0,0,1500.0,350.0,0,Joelle Schad
203087,1431.7,152.1,15,1459.1,155.3,15,1500.0,350.0,0,1500.0,350.0,0,Sabrina Eisenberg
204427,1431.6,104.8,285,1452.5,128.5,152,1363.4,168.9,109,1269.0,307.7,24,Sara Sorribes Tormo
202367,1431.5,208.5,3,1344.3,231.5,3,1500.0,350.0,0,1500.0,350.0,0,Jing Ren
200062,1431.4,103.8,254,1438.9,140.5,150,1301.5,184.6,57,1446.9,245.8,43,Kristina Brandi
201486,1431.4,132.8,231,1433.0,161.0,146,1361.3,279.2,58,1450.8,335.9,27,Aleksandra Wozniak
202497,1431.4,160.6,20,1427.5,192.7,14,1500.0,350.0,0,1344.0,234.1,6,Victoria Duval
201628,1431.3,209.8,4,1470.8,212.9,4,1500.0,350.0,0,1500.0,350.0,0,Li Li
